tupleid,attribute,value
498,score,""
498,sample,0 patients
498,stateavg,AL_AMI-8A
499,provider number,10022
499,hospital name,CHEROKEE MEDICAL CENTER
499,address1,400 NORTHWOOD DR
499,address2,""
499,address3,""
499,city,CENTRE
499,state,AL
499,zip code,35960
499,county name,CHEROKEE
499,phone number,2569275531
499,hospital type,Acute Care Hospitals
499,hospital owner,Voluntary non-profit - Private
499,emergency service,Yes
499,condition,Heart Failure
499,measure code,HF-1
499,measure name,Heart Failure Patients Given Discharge Instructions
499,score,83%
499,sample,35 patients
499,stateavg,AL_HF-1
500,provider number,10022
500,hospital name,CHEROKEE MEDICAL CENTER
500,address1,400 NORTHWOOD DR
500,address2,""
500,address3,""
500,city,CENTRE
500,state,AL
500,zip code,35960
500,county name,CHEROKEE
500,phone number,2569275531
500,hospital type,Acute Care Hospitals
500,hospital owner,Voluntary non-profit - Private
500,emergency service,Yes
500,condition,Heart Failure
500,measure code,HF-2
500,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
500,score,94%
500,sample,48 patients
500,stateavg,AL_HF-2
501,provider number,10022
501,hospital name,CHEROKEE MEDICAL CENTER
501,address1,400 NORTHWOOD DR
501,address2,""
501,address3,""
501,city,CENTRE
501,state,AL
501,zip code,35960
501,county name,CHEROKEE
501,phone number,2569275531
501,hospital type,Acute Care Hospitals
501,hospital owner,Voluntary non-profit - Private
501,emergency service,Yes
501,condition,Heart Failure
501,measure code,HF-3
501,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
501,score,90%
501,sample,10 patients
501,stateavg,AL_HF-3
502,provider number,10022
502,hospital name,CHEROKEE MEDICAL CENTER
502,address1,400 NORTHWOOD DR
502,address2,""
502,address3,""
502,city,CENTRE
502,state,AL
502,zip code,35960
502,county name,CHEROKEE
502,phone number,2569275531
502,hospital type,Acute Care Hospitals
502,hospital owner,Voluntary non-profit - Private
502,emergency service,Yes
502,condition,Heart Failure
502,measure code,HF-4
502,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
502,score,100%
502,sample,15 patients
502,stateavg,AL_HF-4
503,provider number,10022
503,hospital name,CHEROKEE MEDICAL CENTER
503,address1,400 NORTHWOOD DR
503,address2,""
503,address3,""
503,city,CENTRE
503,state,AL
503,zip code,35960
503,county name,CHEROKEE
503,phone number,2569275531
503,hospital type,Acute Care Hospitals
503,hospital owner,Voluntary non-profit - Private
503,emergency service,Yes
503,condition,Pneumonia
503,measure code,PN-2
503,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
503,score,93%
503,sample,44 patients
503,stateavg,AL_PN-2
504,provider number,10022
504,hospital name,CHEROKEE MEDICAL CENTER
504,address1,400 NORTHWOOD DR
504,address2,""
504,address3,""
504,city,CENTRE
504,state,AL
504,zip code,35960
504,county name,CHEROKEE
504,phone number,2569275531
504,hospital type,Acute Care Hospitals
504,hospital owner,Voluntary non-profit - Private
504,emergency service,Yes
504,condition,Pneumonia
504,measure code,PN-3B
504,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
504,score,97%
504,sample,33 patients
504,stateavg,AL_PN-3B
505,provider number,10022
505,hospital name,CHEROKEE MEDICAL CENTER
505,address1,400 NORTHWOOD DR
505,address2,""
505,address3,""
505,city,CENTRE
505,state,AL
505,zip code,35960
505,county name,CHEROKEE
505,phone number,2569275531
505,hospital type,Acute Care Hospitals
505,hospital owner,Voluntary non-profit - Private
505,emergency service,Yes
505,condition,Pneumonia
505,measure code,PN-4
505,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
505,score,100%
505,sample,20 patients
505,stateavg,AL_PN-4
506,provider number,10022
506,hospital name,CHEROKEE MEDICAL CENTER
506,address1,400 NORTHWOOD DR
506,address2,""
506,address3,""
506,city,CENTRE
506,state,AL
506,zip code,35960
506,county name,CHEROKEE
506,phone number,2569275531
506,hospital type,Acute Care Hospitals
506,hospital owner,Voluntary non-profit - Private
506,emergency service,Yes
506,condition,Pneumonia
506,measure code,PN-5C
506,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
506,score,89%
506,sample,56 patients
506,stateavg,AL_PN-5C
507,provider number,10022
507,hospital name,CHEROKEE MEDICAL CENTER
507,address1,400 NORTHWOOD DR
507,address2,""
507,address3,""
507,city,CENTRE
507,state,AL
507,zip code,35960
507,county name,CHEROKEE
507,phone number,2569275531
507,hospital type,Acute Care Hospitals
507,hospital owner,Voluntary non-profit - Private
507,emergency service,Yes
507,condition,Pneumonia
507,measure code,PN-6
507,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
507,score,93%
507,sample,44 patients
507,stateavg,AL_PN-6
508,provider number,10022
508,hospital name,CHEROKEE MEDICAL CENTER
508,address1,400 NORTHWOOD DR
508,address2,""
508,address3,""
508,city,CENTRE
508,state,AL
508,zip code,35960
508,county name,CHEROKEE
508,phone number,2569275531
508,hospital type,Acute Care Hospitals
508,hospital owner,Voluntary non-profit - Private
508,emergency service,Yes
508,condition,Pneumonia
508,measure code,PN-7
508,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
508,score,81%
508,sample,31 patients
508,stateavg,AL_PN-7
509,provider number,10022
509,hospital name,CHEROKEE MEDICAL CENTER
509,address1,400 NORTHWOOD DR
509,address2,""
509,address3,""
509,city,CENTRE
509,state,AL
509,zip code,35960
509,county name,CHEROKEE
509,phone number,2569275531
509,hospital type,Acute Care Hospitals
509,hospital owner,Voluntary non-profit - Private
509,emergency service,Yes
509,condition,Surgical Infection Prevention
509,measure code,SCIP-CARD-2
509,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
509,score,""
509,sample,""
509,stateavg,AL_SCIP-CARD-2
510,provider number,10022
510,hospital name,CHEROKEE MEDICAL CENTER
510,address1,400 NORTHWOOD DR
510,address2,""
510,address3,""
510,city,CENTRE
510,state,AL
510,zip code,35960
510,county name,CHEROKEE
510,phone number,2569275531
510,hospital type,Acute Care Hospitals
510,hospital owner,Voluntary non-profit - Private
510,emergency service,Yes
510,condition,Surgical Infection Prevention
510,measure code,SCIP-INF-1
510,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
510,score,0%
510,sample,2 patients
510,stateavg,AL_SCIP-INF-1
511,provider number,10022
511,hospital name,CHEROKEE MEDICAL CENTER
511,address1,400 NORTHWOOD DR
511,address2,""
511,address3,""
511,city,CENTRE
511,state,AL
511,zip code,35960
511,county name,CHEROKEE
511,phone number,2569275531
511,hospital type,Acute Care Hospitals
511,hospital owner,Voluntary non-profit - Private
511,emergency service,Yes
511,condition,Surgical Infection Prevention
511,measure code,SCIP-INF-2
511,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
511,score,100%
511,sample,2 patients
511,stateavg,AL_SCIP-INF-2
512,provider number,10022
512,hospital name,CHEROKEE MEDICAL CENTER
512,address1,400 NORTHWOOD DR
512,address2,""
512,address3,""
512,city,CENTRE
512,state,AL
512,zip code,35960
512,county name,CHEROKEE
512,phone number,2569275531
512,hospital type,Acute Care Hospitals
512,hospital owner,Voluntary non-profit - Private
512,emergency service,Yes
512,condition,Surgical Infection Prevention
512,measure code,SCIP-INF-3
512,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
512,score,0%
512,sample,1 patients
512,stateavg,AL_SCIP-INF-3
513,provider number,10022
513,hospital name,CHEROKEE MEDICAL CENTER
513,address1,400 NORTHWOOD DR
513,address2,""
513,address3,""
513,city,CENTRE
513,state,AL
513,zip code,35960
513,county name,CHEROKEE
513,phone number,2569275531
513,hospital type,Acute Care Hospitals
513,hospital owner,Voluntary non-profit - Private
513,emergency service,Yes
513,condition,Surgical Infection Prevention
513,measure code,SCIP-INF-4
513,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
513,score,""
513,sample,0 patients
513,stateavg,AL_SCIP-INF-4
514,provider number,10022
514,hospital name,CHEROKEE MEDICAL CENTER
514,address1,400 NORTHWOOD DR
514,address2,""
514,address3,""
514,city,CENTRE
514,state,AL
514,zip code,35960
514,county name,CHEROKEE
514,phone number,2569275531
514,hospital type,Acute Care Hospitals
514,hospital owner,Voluntary non-profit - Private
514,emergency service,Yes
514,condition,Surgical Infection Prevention
514,measure code,SCIP-INF-6
514,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
514,score,100%
514,sample,6 patients
514,stateavg,AL_SCIP-INF-6
515,provider number,10022
515,hospital name,CHEROKEE MEDICAL CENTER
515,address1,400 NORTHWOOD DR
515,address2,""
515,address3,""
515,city,CENTRE
515,state,AL
515,zip code,35960
515,county name,CHEROKEE
515,phone number,2569275531
515,hospital type,Acute Care Hospitals
515,hospital owner,Voluntary non-profit - Private
515,emergency service,Yes
515,condition,Surgical Infection Prevention
515,measure code,SCIP-VTE-1
515,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
515,score,100%
515,sample,5 patients
515,stateavg,AL_SCIP-VTE-1
516,provider number,10022
516,hospital name,CHEROKEE MEDICAL CENTER
516,address1,400 NORTHWOOD DR
516,address2,""
516,address3,""
516,city,CENTRE
516,state,AL
516,zip code,35960
516,county name,CHEROKEE
516,phone number,2569275531
516,hospital type,Acute Care Hospitals
516,hospital owner,Voluntary non-profit - Private
516,emergency service,Yes
516,condition,Surgical Infection Prevention
516,measure code,SCIP-VTE-2
516,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
516,score,100%
516,sample,5 patients
516,stateavg,AL_SCIP-VTE-2
517,provider number,10023
517,hospital name,BAPTIST MEDICAL CENTER SOUTH
517,address1,2105 EAST SOUTH BOULEVARD
517,address2,""
517,address3,""
517,city,MONTGOMERY
517,state,AL
517,zip code,36116
517,county name,MONTGOMERY
517,phone number,3342882100
517,hospital type,Acute Care Hospitals
517,hospital owner,Voluntary non-profit - Church
517,emergency service,Yes
517,condition,Heart Attack
517,measure code,AMI-1
517,measure name,Heart Attack Patients Given Aspirin at Arrival
517,score,100%
517,sample,134 patients
517,stateavg,AL_AMI-1
518,provider number,10023
518,hospital name,BAPTIST MEDICAL CENTER SOUTH
518,address1,2105 EAST SOUTH BOULEVARD
518,address2,""
518,address3,""
518,city,MONTGOMERY
518,state,AL
518,zip code,36116
518,county name,MONTGOMERY
518,phone number,3342882100
518,hospital type,Acute Care Hospitals
518,hospital owner,Voluntary non-profit - Church
518,emergency service,Yes
518,condition,Heart Attack
518,measure code,AMI-2
518,measure name,Heart Attack Patients Given Aspirin at Discharge
518,score,100%
518,sample,282 patients
518,stateavg,AL_AMI-2
519,provider number,10023
519,hospital name,BAPTIST MEDICAL CENTER SOUTH
519,address1,2105 EAST SOUTH BOULEVARD
519,address2,""
519,address3,""
519,city,MONTGOMERY
519,state,AL
519,zip code,36116
519,county name,MONTGOMERY
519,phone number,3342882100
519,hospital type,Acute Care Hospitals
519,hospital owner,Voluntary non-profit - Church
519,emergency service,Yes
519,condition,Heart Attack
519,measure code,AMI-3
519,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
519,score,100%
519,sample,53 patients
519,stateavg,AL_AMI-3
520,provider number,10023
520,hospital name,BAPTIST MEDICAL CENTER SOUTH
520,address1,2105 EAST SOUTH BOULEVARD
520,address2,""
520,address3,""
520,city,MONTGOMERY
520,state,AL
520,zip code,36116
520,county name,MONTGOMERY
520,phone number,3342882100
520,hospital type,Acute Care Hospitals
520,hospital owner,Voluntary non-profit - Church
520,emergency service,Yes
520,condition,Heart Attack
520,measure code,AMI-4
520,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
520,score,100%
520,sample,119 patients
520,stateavg,AL_AMI-4
521,provider number,10023
521,hospital name,BAPTIST MEDICAL CENTER SOUTH
521,address1,2105 EAST SOUTH BOULEVARD
521,address2,""
521,address3,""
521,city,MONTGOMERY
521,state,AL
521,zip code,36116
521,county name,MONTGOMERY
521,phone number,3342882100
521,hospital type,Acute Care Hospitals
521,hospital owner,Voluntary non-profit - Church
521,emergency service,Yes
521,condition,Heart Attack
521,measure code,AMI-5
521,measure name,Heart Attack Patients Given Beta Blocker at Discharge
521,score,100%
521,sample,254 patients
521,stateavg,AL_AMI-5
522,provider number,10023
522,hospital name,BAPTIST MEDICAL CENTER SOUTH
522,address1,2105 EAST SOUTH BOULEVARD
522,address2,""
522,address3,""
522,city,MONTGOMERY
522,state,AL
522,zip code,36116
522,county name,MONTGOMERY
522,phone number,3342882100
522,hospital type,Acute Care Hospitals
522,hospital owner,Voluntary non-profit - Church
522,emergency service,Yes
522,condition,Heart Attack
522,measure code,AMI-7A
522,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
522,score,""
522,sample,0 patients
522,stateavg,AL_AMI-7A
523,provider number,10023
523,hospital name,BAPTIST MEDICAL CENTER SOUTH
523,address1,2105 EAST SOUTH BOULEVARD
523,address2,""
523,address3,""
523,city,MONTGOMERY
523,state,AL
523,zip code,36116
523,county name,MONTGOMERY
523,phone number,3342882100
523,hospital type,Acute Care Hospitals
523,hospital owner,Voluntary non-profit - Church
523,emergency service,Yes
523,condition,Heart Attack
523,measure code,AMI-8A
523,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
523,score,96%
523,sample,27 patients
523,stateavg,AL_AMI-8A
524,provider number,10023
524,hospital name,BAPTIST MEDICAL CENTER SOUTH
524,address1,2105 EAST SOUTH BOULEVARD
524,address2,""
524,address3,""
524,city,MONTGOMERY
524,state,AL
524,zip code,36116
524,county name,MONTGOMERY
524,phone number,3342882100
524,hospital type,Acute Care Hospitals
524,hospital owner,Voluntary non-profit - Church
524,emergency service,Yes
524,condition,Heart Failure
524,measure code,HF-1
524,measure name,Heart Failure Patients Given Discharge Instructions
524,score,100%
524,sample,257 patients
524,stateavg,AL_HF-1
525,provider number,10023
525,hospital name,BAPTIST MEDICAL CENTER SOUTH
525,address1,2105 EAST SOUTH BOULEVARD
525,address2,""
525,address3,""
525,city,MONTGOMERY
525,state,AL
525,zip code,36116
525,county name,MONTGOMERY
525,phone number,3342882100
525,hospital type,Acute Care Hospitals
525,hospital owner,Voluntary non-profit - Church
525,emergency service,Yes
525,condition,Heart Failure
525,measure code,HF-2
525,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
525,score,100%
525,sample,292 patients
525,stateavg,AL_HF-2
526,provider number,10023
526,hospital name,BAPTIST MEDICAL CENTER SOUTH
526,address1,2105 EAST SOUTH BOULEVARD
526,address2,""
526,address3,""
526,city,MONTGOMERY
526,state,AL
526,zip code,36116
526,county name,MONTGOMERY
526,phone number,3342882100
526,hospital type,Acute Care Hospitals
526,hospital owner,Voluntary non-profit - Church
526,emergency service,Yes
526,condition,Heart Failure
526,measure code,HF-3
526,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
526,score,100%
526,sample,98 patients
526,stateavg,AL_HF-3
527,provider number,10023
527,hospital name,BAPTIST MEDICAL CENTER SOUTH
527,address1,2105 EAST SOUTH BOULEVARD
527,address2,""
527,address3,""
527,city,MONTGOMERY
527,state,AL
527,zip code,36116
527,county name,MONTGOMERY
527,phone number,3342882100
527,hospital type,Acute Care Hospitals
527,hospital owner,Voluntary non-profit - Church
527,emergency service,Yes
527,condition,Heart Failure
527,measure code,HF-4
527,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
527,score,100%
527,sample,77 patients
527,stateavg,AL_HF-4
528,provider number,10023
528,hospital name,BAPTIST MEDICAL CENTER SOUTH
528,address1,2105 EAST SOUTH BOULEVARD
528,address2,""
528,address3,""
528,city,MONTGOMERY
528,state,AL
528,zip code,36116
528,county name,MONTGOMERY
528,phone number,3342882100
528,hospital type,Acute Care Hospitals
528,hospital owner,Voluntary non-profit - Church
528,emergency service,Yes
528,condition,Pneumonia
528,measure code,PN-2
528,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
528,score,94%
528,sample,99 patients
528,stateavg,AL_PN-2
529,provider number,10023
529,hospital name,BAPTIST MEDICAL CENTER SOUTH
529,address1,2105 EAST SOUTH BOULEVARD
529,address2,""
529,address3,""
529,city,MONTGOMERY
529,state,AL
529,zip code,36116
529,county name,MONTGOMERY
529,phone number,3342882100
529,hospital type,Acute Care Hospitals
529,hospital owner,Voluntary non-profit - Church
529,emergency service,Yes
529,condition,Pneumonia
529,measure code,PN-3B
529,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
529,score,96%
529,sample,103 patients
529,stateavg,AL_PN-3B
530,provider number,10023
530,hospital name,BAPTIST MEDICAL CENTER SOUTH
530,address1,2105 EAST SOUTH BOULEVARD
530,address2,""
530,address3,""
530,city,MONTGOMERY
530,state,AL
530,zip code,36116
530,county name,MONTGOMERY
530,phone number,3342882100
530,hospital type,Acute Care Hospitals
530,hospital owner,Voluntary non-profit - Church
530,emergency service,Yes
530,condition,Pneumonia
530,measure code,PN-4
530,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
530,score,94%
530,sample,80 patients
530,stateavg,AL_PN-4
531,provider number,10023
531,hospital name,BAPTIST MEDICAL CENTER SOUTH
531,address1,2105 EAST SOUTH BOULEVARD
531,address2,""
531,address3,""
531,city,MONTGOMERY
531,state,AL
531,zip code,36116
531,county name,MONTGOMERY
531,phone number,3342882100
531,hospital type,Acute Care Hospitals
531,hospital owner,Voluntary non-profit - Church
531,emergency service,Yes
531,condition,Pneumonia
531,measure code,PN-5C
531,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
531,score,95%
531,sample,101 patients
531,stateavg,AL_PN-5C
532,provider number,10023
532,hospital name,BAPTIST MEDICAL CENTER SOUTH
532,address1,2105 EAST SOUTH BOULEVARD
532,address2,""
532,address3,""
532,city,MONTGOMERY
532,state,AL
532,zip code,36116
532,county name,MONTGOMERY
532,phone number,3342882100
532,hospital type,Acute Care Hospitals
532,hospital owner,Voluntary non-profit - Church
532,emergency service,Yes
532,condition,Pneumonia
532,measure code,PN-6
532,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
532,score,90%
532,sample,71 patients
532,stateavg,AL_PN-6
533,provider number,10023
533,hospital name,BAPTIST MEDICAL CENTER SOUTH
533,address1,2105 EAST SOUTH BOULEVARD
533,address2,""
533,address3,""
533,city,MONTGOMERY
533,state,AL
533,zip code,36116
533,county name,MONTGOMERY
533,phone number,3342882100
533,hospital type,Acute Care Hospitals
533,hospital owner,Voluntary non-profit - Church
533,emergency service,Yes
533,condition,Pneumonia
533,measure code,PN-7
533,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
533,score,92%
533,sample,87 patients
533,stateavg,AL_PN-7
534,provider number,10023
534,hospital name,BAPTIST MEDICAL CENTER SOUTH
534,address1,2105 EAST SOUTH BOULEVARD
534,address2,""
534,address3,""
534,city,MONTGOMERY
534,state,AL
534,zip code,36116
534,county name,MONTGOMERY
534,phone number,3342882100
534,hospital type,Acute Care Hospitals
534,hospital owner,Voluntary non-profit - Church
534,emergency service,Yes
534,condition,Surgical Infection Prevention
534,measure code,SCIP-CARD-2
534,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
534,score,97%
534,sample,89 patients
534,stateavg,AL_SCIP-CARD-2
535,provider number,10023
535,hospital name,BAPTIST MEDICAL CENTER SOUTH
535,address1,2105 EAST SOUTH BOULEVARD
535,address2,""
535,address3,""
535,city,MONTGOMERY
535,state,AL
535,zip code,36116
535,county name,MONTGOMERY
535,phone number,3342882100
535,hospital type,Acute Care Hospitals
535,hospital owner,Voluntary non-profit - Church
535,emergency service,Yes
535,condition,Surgical Infection Prevention
535,measure code,SCIP-INF-1
535,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
535,score,97%
535,sample,412 patients
535,stateavg,AL_SCIP-INF-1
536,provider number,10023
536,hospital name,BAPTIST MEDICAL CENTER SOUTH
536,address1,2105 EAST SOUTH BOULEVARD
536,address2,""
536,address3,""
536,city,MONTGOMERY
536,state,AL
536,zip code,36116
536,county name,MONTGOMERY
536,phone number,3342882100
536,hospital type,Acute Care Hospitals
536,hospital owner,Voluntary non-profit - Church
536,emergency service,Yes
536,condition,Surgical Infection Prevention
536,measure code,SCIP-INF-2
536,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
536,score,97%
536,sample,423 patients
536,stateavg,AL_SCIP-INF-2
537,provider number,10023
537,hospital name,BAPTIST MEDICAL CENTER SOUTH
537,address1,2105 EAST SOUTH BOULEVARD
537,address2,""
537,address3,""
537,city,MONTGOMERY
537,state,AL
537,zip code,36116
537,county name,MONTGOMERY
537,phone number,3342882100
537,hospital type,Acute Care Hospitals
537,hospital owner,Voluntary non-profit - Church
537,emergency service,Yes
537,condition,Surgical Infection Prevention
537,measure code,SCIP-INF-3
537,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
537,score,94%
537,sample,392 patients
537,stateavg,AL_SCIP-INF-3
538,provider number,10023
538,hospital name,BAPTIST MEDICAL CENTER SOUTH
538,address1,2105 EAST SOUTH BOULEVARD
538,address2,""
538,address3,""
538,city,MONTGOMERY
538,state,AL
538,zip code,36116
538,county name,MONTGOMERY
538,phone number,3342882100
538,hospital type,Acute Care Hospitals
538,hospital owner,Voluntary non-profit - Church
538,emergency service,Yes
538,condition,Surgical Infection Prevention
538,measure code,SCIP-INF-4
538,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
538,score,95%
538,sample,125 patients
538,stateavg,AL_SCIP-INF-4
539,provider number,10023
539,hospital name,BAPTIST MEDICAL CENTER SOUTH
539,address1,2105 EAST SOUTH BOULEVARD
539,address2,""
539,address3,""
539,city,MONTGOMERY
539,state,AL
539,zip code,36116
539,county name,MONTGOMERY
539,phone number,3342882100
539,hospital type,Acute Care Hospitals
539,hospital owner,Voluntary non-profit - Church
539,emergency service,Yes
539,condition,Surgical Infection Prevention
539,measure code,SCIP-INF-6
539,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
539,score,100%
539,sample,575 patients
539,stateavg,AL_SCIP-INF-6
540,provider number,10023
540,hospital name,BAPTIST MEDICAL CENTER SOUTH
540,address1,2105 EAST SOUTH BOULEVARD
540,address2,""
540,address3,""
540,city,MONTGOMERY
540,state,AL
540,zip code,36116
540,county name,MONTGOMERY
540,phone number,3342882100
540,hospital type,Acute Care Hospitals
540,hospital owner,Voluntary non-profit - Church
540,emergency service,Yes
540,condition,Surgical Infection Prevention
540,measure code,SCIP-VTE-1
540,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
540,score,98%
540,sample,179 patients
540,stateavg,AL_SCIP-VTE-1
541,provider number,10023
541,hospital name,BAPTIST MEDICAL CENTER SOUTH
541,address1,2105 EAST SOUTH BOULEVARD
541,address2,""
541,address3,""
541,city,MONTGOMERY
541,state,AL
541,zip code,36116
541,county name,MONTGOMERY
541,phone number,3342882100
541,hospital type,Acute Care Hospitals
541,hospital owner,Voluntary non-profit - Church
541,emergency service,Yes
541,condition,Surgical Infection Prevention
541,measure code,SCIP-VTE-2
541,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
541,score,94%
541,sample,179 patients
541,stateavg,AL_SCIP-VTE-2
542,provider number,10024
542,hospital name,JACKSON HOSPITAL & CLINIC INC
542,address1,1725 PINE STREET
542,address2,""
542,address3,""
542,city,MONTGOMERY
542,state,AL
542,zip code,36106
542,county name,MONTGOMERY
542,phone number,3342938000
542,hospital type,Acute Care Hospitals
542,hospital owner,Voluntary non-profit - Private
542,emergency service,Yes
542,condition,Heart Attack
542,measure code,AMI-1
542,measure name,Heart Attack Patients Given Aspirin at Arrival
542,score,95%
542,sample,111 patients
542,stateavg,AL_AMI-1
543,provider number,10024
543,hospital name,JACKSON HOSPITAL & CLINIC INC
543,address1,1725 PINE STREET
543,address2,""
543,address3,""
543,city,MONTGOMERY
543,state,AL
543,zip code,36106
543,county name,MONTGOMERY
543,phone number,3342938000
543,hospital type,Acute Care Hospitals
543,hospital owner,Voluntary non-profit - Private
543,emergency service,Yes
543,condition,Heart Attack
543,measure code,AMI-2
543,measure name,Heart Attack Patients Given Aspirin at Discharge
543,score,92%
543,sample,165 patients
543,stateavg,AL_AMI-2
544,provider number,10024
544,hospital name,JACKSON HOSPITAL & CLINIC INC
544,address1,1725 PINE STREET
544,address2,""
544,address3,""
544,city,MONTGOMERY
544,state,AL
544,zip code,36106
544,county name,MONTGOMERY
544,phone number,3342938000
544,hospital type,Acute Care Hospitals
544,hospital owner,Voluntary non-profit - Private
544,emergency service,Yes
544,condition,Heart Attack
544,measure code,AMI-3
544,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
544,score,79%
544,sample,24 patients
544,stateavg,AL_AMI-3
545,provider number,10024
545,hospital name,JACKSON HOSPITAL & CLINIC INC
545,address1,1725 PINE STREET
545,address2,""
545,address3,""
545,city,MONTGOMERY
545,state,AL
545,zip code,36106
545,county name,MONTGOMERY
545,phone number,3342938000
545,hospital type,Acute Care Hospitals
545,hospital owner,Voluntary non-profit - Private
545,emergency service,Yes
545,condition,Heart Attack
545,measure code,AMI-4
545,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
545,score,97%
545,sample,65 patients
545,stateavg,AL_AMI-4
546,provider number,10024
546,hospital name,JACKSON HOSPITAL & CLINIC INC
546,address1,1725 PINE STREET
546,address2,""
546,address3,""
546,city,MONTGOMERY
546,state,AL
546,zip code,36106
546,county name,MONTGOMERY
546,phone number,3342938000
546,hospital type,Acute Care Hospitals
546,hospital owner,Voluntary non-profit - Private
546,emergency service,Yes
546,condition,Heart Attack
546,measure code,AMI-5
546,measure name,Heart Attack Patients Given Beta Blocker at Discharge
546,score,95%
546,sample,173 patients
546,stateavg,AL_AMI-5
547,provider number,10024
547,hospital name,JACKSON HOSPITAL & CLINIC INC
547,address1,1725 PINE STREET
547,address2,""
547,address3,""
547,city,MONTGOMERY
547,state,AL
547,zip code,36106
547,county name,MONTGOMERY
547,phone number,3342938000
547,hospital type,Acute Care Hospitals
547,hospital owner,Voluntary non-profit - Private
547,emergency service,Yes
547,condition,Heart Attack
547,measure code,AMI-7A
547,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
547,score,""
547,sample,0 patients
547,stateavg,AL_AMI-7A
548,provider number,10024
548,hospital name,JACKSON HOSPITAL & CLINIC INC
548,address1,1725 PINE STREET
548,address2,""
548,address3,""
548,city,MONTGOMERY
548,state,AL
548,zip code,36106
548,county name,MONTGOMERY
548,phone number,3342938000
548,hospital type,Acute Care Hospitals
548,hospital owner,Voluntary non-profit - Private
548,emergency service,Yes
548,condition,Heart Attack
548,measure code,AMI-8A
548,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
548,score,40%
548,sample,15 patients
548,stateavg,AL_AMI-8A
549,provider number,10024
549,hospital name,JACKSON HOSPITAL & CLINIC INC
549,address1,1725 PINE STREET
549,address2,""
549,address3,""
549,city,MONTGOMERY
549,state,AL
549,zip code,36106
549,county name,MONTGOMERY
549,phone number,3342938000
549,hospital type,Acute Care Hospitals
549,hospital owner,Voluntary non-profit - Private
